ID;CIRCUIT;JOINT_E;JOINT_S;TOURNEE;POINTS;STAMP
600;332;405;403;2019_13666;*10-949-38-924-66-860-115-940-165-896-215-1042-265-1030-314-1142-364-1024-414-1077-464-958-514-1063-565-1028-615-1250-665-1266-715-1383-765-1198-814-1228-864-1091-915-1198-966-1181-1015-1461-1065-1529-1115-1689-1165-1415-1215-1395-1265-1199-1315-1317-1366-1332-1416-1658-1466-1805-1516-2006-1566-1608-1616-1524-1667-1299-1717-1470-1767-1524-1817-2116-1867-2398-1892-2494-1917-2369;17695864
601;333;405;53;2018_01_22 - L2PLY_NMS_220118205;*10-839-37-827-65-817-115-887-165-905-215-1029-265-1060-315-1132-365-1066-415-1043-465-948-515-950-566-901-616-980-666-1006-716-1173-766-1249-816-1402-866-1349-915-1308-965-1137-1015-1099-1066-1010-1116-1061-1166-1073-1216-1254-1266-1390-1316-1693-1366-1752-1416-1739-1466-1454-1516-1320-1566-1154-1616-1162-1666-1141-1716-1307-1766-1440-1815-1897-1865-2188-1887-2338-1910-2374;736724
602;333;53;405;2019_13666;*11-862-37-861-64-840-113-930-162-965-212-1123-262-1171-312-1255-362-1152-412-1094-463-972-512-973-562-921-612-1003-662-1037-712-1222-762-1320-812-1496-862-1437-912-1370-963-1170-1013-1123-1063-1028-1113-1086-1163-1102-1213-1301-1263-1449-1312-1776-1362-1822-1412-1763-1463-1437-1513-1311-1563-1151-1613-1167-1663-1149-1713-1321-1763-1470-1813-1980-1864-2371-1888-2476-1913-2454;17695864
603;334;406;407;2010_12_06 - LNCLV_MTB_61210621  M1;*10-1078-52-1108-95-1002-145-1191-195-1166-245-1366-295-1238-345-1342-396-1178-445-1334-495-1258-545-1536-595-1480-645-1627-695-1377-745-1480-795-1355-845-1610-895-1582-944-1928-994-1754-1044-1791-1095-1504-1145-1715-1195-1674-1234-2053-1273-2243;0
604;334;407;406;2010_06_04 - V1MTB_PLY_40610514  M1;*10-1045-53-1069-96-964-146-1144-196-1118-246-1348-296-1241-346-1301-396-1109-446-1260-495-1196-545-1465-595-1431-645-1610-695-1359-745-1451-795-1298-844-1558-894-1560-944-1908-995-1695-1044-1730-1094-1460-1144-1654-1194-1606-1234-1976-1273-2191;0
605;335;404;406;2010_12_06 - LNCLV_MTB_61210621  M1;*11-1050-35-1041-60-1012-110-1158-160-1211-209-1398-259-1360-309-1398-359-1224-409-1212-459-1094-509-1199-559-1218-609-1498-660-1636-710-1816-760-1628-810-1511-860-1271-910-1298-960-1253-1010-1412-1060-1504-1110-2004-1160-2258-1183-2382-1206-2418;0
606;335;406;404;2021_14878;*14-972-38-965-62-921-111-1068-161-1167-211-1379-261-1433-311-1577-361-1425-410-1372-460-1202-510-1236-560-1198-610-1402-660-1513-710-1824-760-1824-810-1794-860-1470-910-1416-960-1282-1009-1414-1058-1479-1107-1881-1156-2145-1181-2291-1207-2385;17708055
607;336;408;409;2020_14297;*10-906-43-872-76-802-126-877-176-844-226-983-276-981-326-1058-376-941-426-994-477-887-527-1008-577-980-627-1175-677-1112-727-1223-777-1107-827-1117-877-998-927-1119-977-1123-1027-1329-1077-1346-1127-1448-1177-1263-1227-1260-1278-1116-1328-1278-1378-1285-1428-1624-1479-1627-1529-1653-1579-1375-1629-1385-1679-1276-1729-1403-1780-1450-1805-1644-*1831-1890-1842-2057-*1854-2165-1865-2193-1876-2163-1907-2380-1939-2253;17702365
608;336;409;408;2017_11_04 - SNPIO_PLD_41117019;*10-890-43-867-76-777-124-818-172-760-222-880-273-891-323-1001-373-941-423-1003-474-901-524-1002-575-972-625-1158-675-1146-725-1272-775-1122-825-1151-876-1024-926-1127-976-1104-1026-1342-1076-1383-1125-1535-1175-1341-1225-1347-1276-1171-1326-1309-1376-1309-1426-1672-1476-1755-1526-1841-1577-1504-1627-1483-1677-1299-1727-1441-1777-1466-1827-1997-1878-2292-1908-2380-1938-2243;736646
609;337;410;411;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1367-50-1512-91-1481-141-1900-192-1765-242-1762-292-1419-342-1562-392-1477-429-1828-466-2112;0
610;337;411;410;2020_13946;*10-1294-50-1457-91-1450-141-1901-191-1778-241-1715-291-1366-341-1512-392-1456-431-1842-471-2080;17698521
611;338;407;410;2020_13982;*10-1212-53-1264-97-1148-147-1129-197-1009-247-1054-297-1025-347-1182-397-1242-447-1458-497-1440-547-1450-597-1240-647-1224-697-1117-747-1243-797-1279-846-1577-896-1715-946-1903-997-1620-1047-1493-1097-1249-1147-1289-1197-1263-1247-1501-1297-1631-1337-2124-1378-2305;17698813
612;338;410;407;2019_08_06 - MBDIJ_CLV_60819529;*10-1160-53-1244-96-1145-146-1145-197-1010-247-1049-297-1004-347-1162-397-1194-447-1434-497-1424-547-1451-597-1238-647-1228-697-1111-746-1225-796-1252-846-1534-896-1649-946-1849-996-1620-1046-1501-1096-1262-1146-1286-1196-1235-1246-1489-1296-1686-1338-2138-1380-2366;737277
613;339;411;412;2020_13982;*10-1121-32-1089-54-1023-103-1039-153-964-203-1065-253-1077-303-1255-354-1283-404-1383-454-1256-504-1233-554-1091-604-1144-654-1123-704-1324-754-1415-804-1682-854-1665-904-1641-954-1359-1004-1333-1054-1226-1104-1372-1154-1449-1204-1866-1254-2112-1273-2259-1293-2320;17698813
614;339;412;411;2019_01_11 - V1MAR_PLD_110119043;*10-1107-31-1075-53-1005-102-1038-152-973-202-1083-252-1102-302-1298-352-1343-402-1453-452-1303-502-1264-552-1104-602-1167-652-1132-702-1373-752-1488-802-1794-852-1725-902-1645-952-1356-1002-1330-1052-1219-1102-1371-1152-1459-1202-1914-1253-2174-1272-2293-1291-2325;737087
615;340;412;413;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1166-45-1136-80-1036-130-1197-180-1164-230-1404-280-1302-330-1365-380-1175-430-1310-480-1233-530-1528-580-1509-630-1646-681-1371-731-1452-781-1292-830-1588-880-1584-930-1972-981-1722-1031-1716-1081-1441-1131-1649-1181-1627-1212-1937-1244-2167;0
616;340;413;412;2017_11_02 - JBDIJ_BEU_21117010;*10-1173-45-1169-80-1052-130-1212-180-1144-230-1370-280-1275-330-1393-380-1198-430-1332-480-1221-530-1468-580-1433-630-1620-680-1395-730-1501-780-1340-830-1603-880-1568-930-1935-980-1747-1030-1789-1080-1508-1130-1721-1180-1677-1212-1984-1245-2177;736647
617;341;409;414;2020_14297;*10-956-37-968-64-893-115-946-166-908-216-969-267-1009-317-1132-367-1187-417-1301-467-1258-517-1233-568-1093-618-1091-668-1030-718-1105-768-1143-818-1342-868-1427-918-1600-968-1548-1018-1511-1069-1309-1118-1274-1168-1168-1218-1223-1268-1229-1318-1427-1368-1545-1419-1870-1470-1917-1520-1939-1570-1629-1620-1511-1670-1310-1720-1321-1770-1317-1819-1421-1868-1615-1892-1698-*1917-1985-1922-2099-*1928-2076-1935-2217-*1942-2372-1953-2337-1964-2251-1989-2472-2014-2526;17702365
618;341;414;409;2010_07_30 - JNBOU_VIP_30071093  M1;*14-931-41-905-68-869-117-898-167-877-216-964-265-990-315-1118-366-1140-416-1206-466-1127-516-1111-566-1011-616-1028-667-990-717-1082-767-1118-817-1291-867-1364-917-1517-967-1434-1017-1403-1068-1227-1118-1199-1168-1117-1218-1190-1268-1215-1318-1411-1368-1580-1418-1879-1468-1909-1518-1861-1569-1553-1619-1435-1669-1265-1719-1272-1769-1246-1819-1425-1870-1608-1919-2114-1968-2455-1991-2651-2015-2663;0
619;342;413;415;2020_13982;*10-891-33-882-56-846-106-935-156-946-206-1107-256-1139-306-1207-357-1079-407-1078-457-980-507-1047-557-1025-607-1207-657-1237-707-1402-757-1325-806-1369-856-1241-906-1266-956-1194-1006-1343-1056-1354-1106-1572-1156-1560-1206-1691-1256-1523-1306-1493-1356-1316-1406-1407-1456-1391-1506-1631-1556-1682-1606-1975-1656-1929-1706-1932-1756-1626-1806-1598-1856-1445-1906-1597-1956-1624-2006-2207-2056-2256-2076-2450-2096-2647;17698813
620;342;415;413;2019_01_11 - V1MAR_PLD_110119043;*10-916-33-910-56-870-106-953-156-927-206-1050-256-1045-306-1136-356-1060-406-1100-456-1010-506-1083-556-1043-606-1187-656-1184-706-1338-756-1293-806-1344-856-1203-906-1225-956-1138-1006-1257-1056-1275-1106-1486-1156-1514-1206-1661-1256-1508-1306-1489-1356-1320-1406-1399-1456-1369-1505-1585-1555-1659-1605-1943-1655-1933-1705-1945-1755-1645-1805-1634-1856-1485-1906-1631-1956-1694-2006-2119-2056-2349-2076-2532-2097-2668;737087
621;343;414;416;2018_10_01 - L1PLY_NMS_11018775;*10-798-37-886-65-875-115-1022-165-863-215-860-265-714-314-783-364-737-414-1020-465-1129-515-1229-565-1025-615-949-666-782-715-884-765-901-815-1248-865-1573-890-1474-915-1526;737061
622;343;416;414;2010_07_30 - JNBOU_VIP_30071093  M1;*10-786-37-844-65-845-114-929-164-772-214-742-264-637-314-711-364-731-414-976-464-1107-514-1147-565-860-614-822-664-695-714-792-765-838-814-1239-864-1509-888-1529-913-1391;0
623;344;416;417;2020_14654;*10-863-51-929-93-866-143-884-194-847-244-981-295-933-345-1154-395-1170-445-1296-496-1172-546-1108-596-985-646-994-696-946-746-1056-797-1112-847-1359-897-1489-947-1664-998-1541-1048-1402-1098-1169-1148-1125-1199-1036-1248-1113-1297-1168-1345-1394-1393-1579-1433-1887-1474-2072;17705871
624;344;417;416;2017_11_04 - SNPIO_PLD_41117019;*10-960-50-924-91-842-141-867-191-854-240-952-289-1007-339-1195-390-1270-440-1349-490-1203-540-1128-590-984-640-984-691-941-741-1040-792-1104-842-1348-892-1499-942-1709-992-1580-1042-1426-1093-1172-1143-1117-1193-1028-1243-1102-1294-1156-1342-1428-1391-1686-1432-2042-1474-2222;736646
625;345;415;418;2010_07_26 - LNCLV_PVL_26071071  M2;*11-1467-50-1483-90-1343-140-1513-190-1419-240-1682-290-1595-340-1775-390-1550-440-1699-490-1552-540-1812-590-1733-640-2064-691-1887-741-1993-791-1737-841-1969-891-1881-941-2246-991-2199-1041-2416-1091-2028-1141-2169-1191-1971-1241-2358-1291-2322-1340-2857-1390-2543-1440-2545-1490-2135-1540-2420-1591-2426-1626-2950-1661-3323;0
626;345;418;415;2018_11_01 - JBDIJ_BEU_11118875;*10-1287-49-1305-89-1164-139-1290-189-1192-239-1431-289-1388-339-1591-389-1395-439-1519-489-1349-539-1565-589-1491-639-1795-689-1644-738-1818-788-1575-838-1763-889-1640-938-1993-988-1954-1038-2175-1089-1842-1139-2028-1189-1861-1239-2273-1289-2240-1339-2697-1390-2343-1440-2366-1490-2004-1540-2346-1590-2343-1626-2830-1663-3064;737019
627;349;425;426;2010_07_26 - LNMAC_BRG_26071073  M2;*0-1501-34-1438-69-1314-99-1515-129-1915;0
628;349;426;425;2010_05_04 - M3MAR_MAC_40510396  M1;*0-1482-34-1418-68-1295-98-1588-128-1990;0
629;351;427;429;2010_10_26 - M2MAR_MAC_261010427  M1;*0-1274-62-1212-124-1328-158-1493-*192-1791-194-1462-*196-950-205-1221-*215-1584-217-1276-*219-1071-225-1290-*232-1655-234-1519-*236-1489-244-1657-*253-1599-262-2208-272-2156;0
630;353;434;435;2021_14828;*4-1521-40-1474-77-1409-126-1526-176-1589-226-1910-276-2206-326-2222-376-2097-425-2358-475-2212-524-1954-573-1655-623-1672-673-1644-722-1785-772-1993-822-2544-872-2380-922-2406-972-2393-1020-2700-*1069-2220-1070-2211-1072-2120-1079-2430-*1087-2489-1129-2191-1171-1919-1221-2003-1271-2059-1320-2498-1370-3063-1408-3021-1446-2979;17707648
631;353;435;434;2010_06_10 - JNBRX_VLT_100610543  M2;*0-2995-34-3080-68-3069-118-2469-168-2031-218-1981-268-1902-314-2192-*360-2533-364-2282-368-2122-418-2653-468-2440-518-2400-568-2390-618-2543-668-1966-718-1772-768-1627-818-1658-868-1632-917-1912-966-2173-1016-2301-1066-2066-1116-2211-1166-2168-1216-1881-1266-1584-1316-1519-1366-1411-1403-1453-1441-1514;0
632;354;437;436;2021_15297;*0-1990-39-1994-79-2007-129-2055-180-1770-230-1763-280-1628-321-1787-*362-1889-368-1816-*375-1618-377-1689-380-1623-430-1984-480-1978-530-2128-580-2428-630-2329-680-1794-730-1711-780-1660-830-1881-880-2091-930-2484-980-2327-1030-2647-1080-3171-1086-3198-*1092-3283-1136-2514-1180-1940-1230-1908-1280-1846-1330-2216-1380-2598-1415-2600-1450-2616;17711768
633;355;438;439;2018_12_03 - L1PLY_NMS_31218954;*0-980-38-1094-77-1052-127-1303-178-1394-228-1585-278-1435-328-1365-378-1158-428-1228-479-1261-528-1574-578-1751-627-2009-677-1960-727-1753-777-1394-827-1447-877-1403-927-1727-977-2034-1027-2191-1078-2412-1081-2363-*1084-2579-1130-2230-1177-1639-1227-1601-1278-1530-1328-1812-1378-2118-1427-2338-1477-2322-1484-2502-*1492-2666-1505-2910-*1519-3192-1548-2551-1577-1950-1627-1722-1677-1540-1726-1776-1776-2060-1812-2478-1849-2432;737062
634;355;439;438;2021_14821;*0-2565-47-2350-95-1852-145-1622-195-1655-245-1820-295-2457-301-2693-*307-2798-322-3177-*338-2977-366-2474-395-2410-444-2250-494-1929-544-1619-594-1562-644-1592-695-1924-721-2265-*747-2579-770-2442-794-2351-844-2103-895-1873-945-1491-995-1431-1045-1390-1095-1582-1145-1848-1195-2101-1244-1845-1294-1665-1343-1367-1393-1226-1443-1158-1494-1264-1543-1375-1593-1545-1643-1471-1694-1361-1744-1159-1795-1069-1817-1058-1840-1028;17707618
635;356;440;441;2021_14828;*0-2852-12-2795-*24-2979-49-2384-75-1936-125-1759-175-1654-206-2019-*237-2412-256-2651-275-2525-324-2419-373-2250-389-2418-*406-2320-439-1872-473-1619-522-1685-572-1638-622-2329-672-2099-721-2261-771-1930-821-1667-871-1362-920-1567-970-1677-1020-2014-1071-1776-1120-1814-1170-1353-1219-1365-1269-1235-1319-1434-1369-1435-1418-1621-1468-1355-1518-1270-1568-1035-1617-1106-1667-1044-1717-1213-1767-1152-1803-1229-1839-1126;17707648
636;356;441;440;2021_14845;*3-1029-40-1249-78-1139-128-1220-178-1043-228-1116-278-1035-328-1285-378-1347-428-1632-478-1430-528-1441-578-1249-628-1367-678-1345-727-1807-777-1759-827-2007-878-1667-928-1570-978-1363-1028-1669-1078-1866-1098-2155-*1118-2277-1148-2194-1178-2123-1180-2077-*1183-2083-1205-2351-*1228-2372-1252-2017-1277-1684-1327-1687-1378-1637-1415-1942-*1453-2507-1465-2450-1477-2304-1526-2422-1576-2649-1626-2306-1676-1632-1726-1789-1777-1887-1814-2675-1852-2792;17707401
637;359;446;447;2021_14887;*15-1665-39-1599-63-1481-112-1276-162-973-212-921-262-822-312-912-362-955-412-1168-462-1231-512-1256-563-1015-612-936-662-790-712-816-762-786-812-906-862-944-912-1061-962-973-984-974-1007-957;17707743
638;359;447;446;2019_09_10 - M2MAR_MAC_100919628;*15-915-37-882-59-882-108-979-158-894-208-860-258-743-308-761-358-728-408-847-458-919-508-1142-558-1163-608-1134-658-912-708-865-759-769-809-848-859-891-909-1174-960-1412-985-1535-1011-1603;737312
639;360;448;449;2021_15196;*17-1813-39-1848-62-1853-112-1419-162-996-212-943-262-834-312-1000-362-1091-412-1466-462-1338-512-1183-562-894-612-877-662-795-712-947-762-1011-812-1260-862-1145-912-1006-962-782-983-804-1005-807;17710617
640;360;449;448;2010_07_28 - WNSAT_MAC_28071091  M1;*15-731-37-731-59-727-108-929-158-1023-208-1112-258-904-308-854-358-728-408-817-458-847-508-1169-558-1370-608-1367-658-1001-708-932-758-803-808-913-858-973-908-1493-959-1930-981-1968-1003-1798;0
641;365;461;143;2019_08_19 - LBPLY_MUL_190819560;*15-1418-22-1395-*30-1411-33-1124-*37-737-46-938-*56-1113-59-1096-*62-880-71-1039-81-877-85-1023-*90-1244-136-1218-182-1175-200-1163-*219-996-223-988-*228-1061-231-743-*235-561-244-873-*253-1084-256-1014-*260-835-270-1005-280-904-289-1072-*298-1325-341-1647-384-1924-416-2307-449-2436;737303
642;365;143;461;2010_07_30 - JNBOU_VIP_30071093  M1;*10-1743-46-1557-83-1329-121-1255-*159-1221-163-855-*167-763-176-925-185-871-187-772-*190-816-197-933-*205-800-218-800-*231-857-256-1138-282-1196-321-1369-*360-1645-367-1509-*375-1454-379-951-384-1234-393-1437-*402-1169-415-1482-*428-2121-435-2193-443-2312;0
643;365;462;143;2012_03_10 - VNCLV_MAC_9031203  M1;*3-820-14-1049-*25-1364-27-1204-*30-837-39-1064-49-812-62-1438-*76-1362-112-1350-149-1274-166-1250-*183-1137-190-1004-*197-1149-199-864-*202-591-212-908-*222-1180-225-1098-*228-866-237-1062-247-936-256-1085-*266-1407-313-1721-361-2058-390-2342-419-2566;0
644;366;464;465;2020_14288;*0-708-44-656-89-604-139-687-189-720-239-871-290-894-339-940-389-814-439-775-490-674-540-713-590-706-640-870-690-984-727-1146-764-1196;17702222
645;366;465;464;2017_06_12 - LBLMS_PMP_120617659;*10-953-50-863-91-714-140-719-190-637-240-735-290-756-340-1024-390-1175-440-1231-490-969-540-881-590-742-640-755-691-758-733-888-775-1012;736526
646;367;466;467;2021_15299;*4-1016-41-939-78-858-126-811-175-746-225-774-275-773-325-888-375-962-425-1174-476-1272-525-1306-575-1118-625-1005-675-856-725-844-775-808-825-892-875-950-925-1180-975-1392-1002-1620-1030-1688;17711768
647;367;467;466;2010_07_25 - DNVPD_VIP_25071058  M2;*14-1611-43-1433-73-1238-123-1020-173-823-223-789-273-724-323-773-373-794-423-953-473-1060-522-1193-572-1081-622-980-672-812-722-757-773-684-823-699-873-683-923-760-973-803-1006-884-1040-916;0
648;368;468;469;2020_14288;*4-726-38-668-73-615-123-647-173-647-222-739-272-754-322-812-373-729-423-689-474-591-524-586-574-548-624-593-675-588-725-659-775-641-825-655-875-572-925-555-976-497-1005-503-1035-523;17702222
649;368;469;468;2021_14828;*10-513-40-513-71-503-121-569-171-587-221-669-271-649-321-663-371-586-421-593-471-546-520-589-570-596-620-703-671-744-721-821-771-754-820-732-870-640-919-642-969-614-1000-674-1031-725;17707648
650;373;98;477;2010_05_18 - M2VLC_VLT_180510444  M2;*0-1363-35-1435-70-1439-107-1745-144-2124;0
651;375;479;480;2019_13862;*0-1833-46-1764-92-1872-141-2046-191-2306-241-2589-291-2625-341-2642-391-2384-393-2500-*396-2539-419-2254-*443-2144-466-2182-490-2148-540-1961-591-1935-640-2034-690-2319-740-2948-790-3443-839-3561-889-3480-923-3151-*958-2539-973-2333-989-2286-994-2207-*1000-2450-1044-2179-1089-2032-1123-2072-*1158-2031-1173-2141-1189-2354-1239-2807-1289-3902-1305-4248-1322-4438;17697513
652;376;482;481;2017_11_06 - L1PLD_PLY_61117020;*10-517-140-612-*271-1067-335-1412-*399-2645-425-3178-452-2983;736647
653;377;439;483;2019_09_10 - M2PLY_PLD_100919631;*4-1357-22-1391-41-1442-91-1748-141-1858-191-2065-242-1961-291-1907-341-1584-391-1516-442-1406-491-1460-541-1700-591-1954-642-2302-692-2761-742-2783-792-2758-842-2239-892-2195-942-1818-992-1798-1042-1707-1092-1940-1142-2181-1177-2711-*1212-3279-1227-3350-1242-3338-1292-3571-1343-3198-1393-2723-1443-2155-1493-1979-1543-1793-1593-1912-1643-2039-1693-2631-1743-3538-1763-4005-1784-4239;737312
654;377;483;439;2020_13935;*38-4037-55-3845-72-3598-122-2679-172-2073-222-1938-272-1808-322-1993-373-2172-423-2737-473-3208-523-3573-573-3375-623-3032-674-2177-724-1971-774-1733-824-1806-874-1823-924-2188-974-2223-1024-2713-1075-2742-1125-2706-1175-2257-1225-1939-1275-1678-1325-1457-1375-1374-1425-1492-1475-1547-1525-1882-1575-1985-1625-2083-1675-1860-1725-1761-1775-1438-1795-1385-1816-1331;17698473
655;378;441;484;2021_14828;*14-1691-32-1629-50-1564-99-1551-149-1376-199-1497-249-1512-298-1811-348-1884-398-2113-448-2056-498-2114-548-2147-597-1984-647-1742-696-1856-746-1928-796-2323-846-2523-895-2984-945-2773-995-2677-1045-2143-1094-2041-1144-1870-1193-2119-1243-2284-1293-3232-1343-3276-1393-3412-1443-2954-1492-2588-1542-2073-1591-2081-1641-2060-1690-2548-1740-3228-1759-3842-1778-4013;17707648
656;378;484;441;2020_14320;*24-3825-39-3588-55-3108-105-2503-155-2010-205-2043-255-2029-305-2515-355-2825-405-3229-455-3102-480-3277-*505-3174-530-2688-555-2285-605-2063-655-1821-704-1988-754-2067-804-2546-854-2624-894-2797-*935-2726-945-2471-955-2394-1005-2235-1055-1838-1105-1795-1155-1686-1204-1923-1254-1984-1265-2095-*1276-2211-1280-1978-*1284-1892-1319-1991-1354-1903-1404-1974-1455-1774-1505-1741-1555-1474-1605-1474-1655-1304-1705-1464-1755-1460-1775-1533-1795-1597;17703087
657;379;485;486;2021_15304;*0-690-28-760-57-827-107-1006-157-1017-205-983-254-819-305-754-357-656-406-670-456-663-506-763-556-847-606-1125-656-1326-677-1392-698-1406;17711678
658;379;486;485;2021_14821;*10-875-33-864-56-895-106-1001-157-1104-207-1290-257-1320-306-1261-356-1098-407-1021-458-925-506-935-555-936-605-1049-656-1160-675-1248-694-1320;17707618
659;380;487;488;2020_13942;*0-571-21-580-42-561-92-667-142-743-190-899-239-877-290-833-341-682-391-642-441-592-491-647-541-692-591-916-642-1104-667-1140-693-1147;17698546
660;380;488;487;2010_05_04 - M3BRG_MAS_40510406  M1;*10-909-32-874-55-819-106-844-156-795-206-885-257-907-307-1075-357-1093-408-1140-459-1002-508-981-557-882-605-935-653-927-679-1018-705-1109;0
661;381;489;490;2010_12_06 - LNCLV_MTB_61210621  M1;*1-1037-32-1049-63-1029-114-1232-166-1360-216-1637-266-1598-316-1527-366-1234-416-1198-466-1087-516-1207-566-1270-614-1637-663-1901-690-2132-717-2203;0
662;381;490;489;2019_08_06 - MBDIJ_CLV_60819529;*10-1477-41-1392-72-1270-119-1305-167-1252-217-1470-267-1593-317-2013-367-2078-417-2029-467-1647-517-1567-567-1382-619-1489-672-1521-701-1821-731-2041;737277
663;382;491;492;2021_15291;*6-1288-12-1328-*19-1109-23-1001-*28-1130-49-1365-70-1256-120-1492-170-1622-205-1903-240-2115;17711602
664;382;492;491;2021_14882;*11-1737-46-1548-82-1327-132-1390-182-1385-196-1482-*210-1581-214-1617-*218-1778-222-1954-*226-1879-229-1776-*233-1637-240-1843-247-1948;17707738
665;383;493;274;2021_14825;*15-2015-29-2019-*43-1996-47-1814-*51-1010-58-1343-*65-1549-68-1320-*72-1127-79-1354-*86-1605-90-1280-*94-1293-102-1433-*111-1635-117-1161-123-1220-126-1327-*130-1223-165-1677-200-1540-255-1655-311-1657-329-1573-*348-1428-350-1440-*353-651-362-1310-*371-1248-374-1439-*378-1133-390-1436-403-1305-410-1519-*417-1919-454-2326-492-2635-530-2868-568-2981;17707642
666;383;274;493;2010_07_25 - DNVPD_VIP_25071058  M2;*10-2680-49-2737-89-2430-123-2176-*157-1920-160-1672-*164-1119-171-1413-178-1242-190-1242-*203-1395-207-1313-*211-1098-219-1181-*228-1242-249-1529-271-1559-326-1604-381-1597-411-1758-*442-1601-446-1558-*451-870-454-1064-458-1362-462-1576-*467-1316-478-1626-*490-1313-500-1621-*511-1447-536-2477-562-2833;0
667;384;496;497;2020_14311;*10-1968-27-2204-*45-2339-54-2160-*63-1994-74-1858-86-1606-96-1496-*106-1408-117-915-*128-659-130-474-*133-502-142-788-*152-1006-154-1001-*157-791-166-920-*176-1008-178-940-*181-735-189-846-*197-951-199-871-*202-748-213-845-*225-1025-227-904-*230-637-234-798-239-824;17702944
668;384;497;496;2010_07_26 - LNSOL_NEU_26071068  M1;*2-1230-7-1258-*13-949-27-1343-*41-1099-51-1243-62-990-73-1236-*85-894-97-964-109-1062-133-1512-158-1599-182-1819-206-2019-216-2105-227-2075;0
669;384;496;498;2021_15220;*12-1983-18-2069-*25-2212-28-2241-*31-2312-38-2347-*45-2373-65-2059-86-1698-108-1480-*131-1223-132-1344-*134-1088-135-657-*137-613-144-799-*152-984-155-1107-*158-909-170-1002-183-887-191-880-*199-1031-201-1090-*203-800-214-866-*225-1008-227-1074-*230-1024-236-886-*242-1208-264-1290-286-1257-321-1659-356-2209;17710759
670;384;498;496;2010_06_09 - WNVIP_MRE_90610532  M1;*15-1645-50-1877-85-1761-102-1794-*119-1834-123-1417-*128-1098-134-1294-*140-934-154-1318-*169-1073-178-1237-188-940-200-1208-*212-924-224-1048-*236-1080-260-1404-285-1469-320-1864-355-1973;0
671;385;499;501;2020_13944;*0-486-2-1100-*4-1304-11-1449-*18-1637-21-1487-*25-1070-34-1195-*44-1329-46-1374-*49-1430-58-1614-*67-1867-70-1501-*73-1221-83-1542-*93-1764-95-1555-*98-1367-102-1573-*107-1785-110-1500-*114-1422-121-1608-*129-1835-131-1728-*134-1449-139-1527-*145-1600-147-1402-*150-1128-158-1235-*166-1558-167-1419-*169-1174-178-1873-*187-2173-189-2031-*191-1968-201-2297-212-2372-221-2387-*231-2524-235-2470-*240-2550-265-2649-291-2594;17698498
672;385;501;499;2010_07_26 - LNCHT_CLV_26071070  M1;*10-2291-48-2502-87-2160-97-2025-*108-1978-117-1777-*127-1950-130-1259-*134-705-142-1278-*150-1691-152-1495-*155-1258-162-1537-*170-1725-173-1525-*176-1218-187-1426-*198-1676-200-1500-*203-1236-214-1424-*225-1739-227-1343-*229-1175-239-1371-*250-1691-252-1607-*255-1126-265-1346-*276-1725-278-1547-*281-994-289-1235-298-1559;0
673;385;500;501;2018_10_01 - L1PLY_NMS_11018775;*15-2215-39-2311-*64-2264-67-2125-*71-1255-79-1465-87-1674-89-1717-*92-1238-102-1287-*112-1478-115-1523-*118-1583-127-1775-*137-2013-139-1595-*141-1277-152-1610-*163-1871-164-1699-*166-1449-171-1654-*176-1849-181-1502-186-1614-193-1759-*200-2001-201-1859-*203-1590-209-1735-*215-1837-217-1561-*219-1381-228-1517-*237-1907-240-1619-*244-1750-250-2033-*256-2160-258-2141-*260-1961-274-2327-288-2365-323-2718-359-2677;737061
674;385;501;500;2010_07_30 - JNBOU_VIP_30071093  M1;*4-2342-42-2526-81-2126-94-1999-*107-1773-114-1747-*121-1952-124-1502-*127-864-134-1351-*142-1734-144-1547-*147-1219-158-1678-*169-1287-175-1367-181-1454-185-1568-*190-1723-193-1370-*197-1282-206-1433-*216-1782-219-1336-*223-1232-233-1440-*243-1770-246-1305-*250-1246-259-1440-*269-1705-275-1248-281-1480-288-1716-*296-2141-321-2343-346-2515;0
675;387;504;507;2018_10_01 - L1PLY_NMS_11018775;*15-1352-40-1312-66-1236-110-1328-*154-1300-157-977-*161-827-163-863-166-998-170-1055-*174-1147-177-952-*180-904-186-1001-*193-1189-197-1047-*201-915-208-988-*216-1137-219-1067-*222-1056-243-1409-265-1486-315-1968-366-1809-402-1737-*439-1211-444-1201-*450-657-458-1012-466-1192-469-1069-*472-978-479-1075-*486-1255-489-1087-*492-992-501-1152-*511-1428-538-1402-566-1364-616-1653-666-1793-692-2073-718-2220;737061
676;387;507;504;2010_07_28 - WNSAT_MAC_28071091  M1;*4-1265-32-1209-61-1116-111-1195-161-1118-184-1197-*207-1334-211-996-*215-808-225-1023-*236-892-248-1082-261-813-269-937-*277-1012-319-1670-361-1786-411-1879-462-1394-477-1325-*493-1086-499-989-*506-638-517-1034-*529-927-538-1075-*548-913-554-969-561-1167-611-1483-661-1590-682-1844-704-2090;0
